id,name,type,url,hostname,featured,path,category,subcategory,description,reporter,ip,severity,statusCode,status,updated,address
3e846a,neosmarteconomy.netlify.com,scam,http://neosmarteconomy.netlify.com,neosmarteconomy.netlify.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,AKPDmZA7BbDH2fXtfr8gtbpDiH9jPAUQj5
0a2a6d,neofoundation.blogspot.com,scam,http://neofoundation.blogspot.com,neofoundation.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591548543093,APrEuwGuqbZF57K8CMto1GEbbV1FgKHY6s
695636,neoaugust.blogspot.com,scam,http://neoaugust.blogspot.com,neoaugust.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591548543093,APrEuwGuqbZF57K8CMto1GEbbV1FgKHY6s
063952,x2neojuly.blogspot.com,scam,http://x2neojuly.blogspot.com,x2neojuly.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
0ef4e8,junecoinsx2.blogspot.com,scam,http://junecoinsx2.blogspot.com ,junecoinsx2.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
2216a4,contestc.blogspot.com,scam,http://contestc.blogspot.com,contestc.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144550,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
28927a,poloniexneo.blogspot.com,scam,http://poloniexneo.blogspot.com,poloniexneo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
29ccd5,neojunex2.blogspot.com,scam,http://neojunex2.blogspot.com,neojunex2.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
2cb2e7,xfreeneo.blogspot.com,scam,http://xfreeneo.blogspot.com,xfreeneo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144550,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
43f7de,getfree-neo.blogspot.com,scam,http://getfree-neo.blogspot.com,getfree-neo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
5a992f,give-neo.blogspot.comt,scam,http://give-neo.blogspot.comt,give-neo.blogspot.comt,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,0,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
6bb498,neojulyx2.blogspot.com,scam,http://neojulyx2.blogspot.com,neojulyx2.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
8940be,airdropxneo.blogspot.com,scam,http://airdropxneo.blogspot.com,airdropxneo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
9cc7d2,blackfridayneo.blogspot.com,scam,http://blackfridayneo.blogspot.com,blackfridayneo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
a4004f,julyneo.blogspot.com,scam,http://julyneo.blogspot.com,julyneo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
b27f55,pool-neo.blogspot.com,scam,http://pool-neo.blogspot.com,pool-neo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
b41a5e,newyearneo.blogspot.com,scam,http://newyearneo.blogspot.com,newyearneo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
bc9ce0,neoblackfriday.blogspot.com,scam,http://neoblackfriday.blogspot.com,neoblackfriday.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
c80c41,neojune.blogspot.com,scam,http://neojune.blogspot.com,neojune.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
c86ee3,neokucoin.blogspot.com,scam,http://neokucoin.blogspot.com,neokucoin.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
c9c28e,neo-kucoin.blogspot.com,scam,http://neo-kucoin.blogspot.com,neo-kucoin.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
d590c0,getfree-neo.blogspot.my,scam,http://getfree-neo.blogspot.my,getfree-neo.blogspot.my,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
f326f4,giveawayxneo.blogspot.com,scam,http://giveawayxneo.blogspot.com,giveawayxneo.blogspot.com,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,ATVMaR3SXKRBtwCNgPjV5k2YzEgzMDYeaf
9833a2,dexcompetition.site,scam,http://dexcompetition.site,dexcompetition.site,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,AdoCwN5zgm8rdPRcgqiiKqxRtCSi6L31Mk
